Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type,Previous Priority
HONORHEALTH PAIN MANAGEMENT CENTER,"4727 E UNION HILLS DR, PHOENIX, AZ 85050-3387",602-293-3382,Pain Management,Medium,Other Medical,Low
HOPE SURGERY CENTER,"13575 W INDIAN SCHOOL RD, LITCHFIELD PARK, AZ 85340-4901",623-535-9777,Surgery Center,High,Other Medical,Low
INNOVATIVE PAIN AND WELLNESS,"18511 N SCOTTSDALE RD, SCOTTSDALE, AZ 85255-9692",623-341-5454,Pain Management,Medium,Other Medical,Low
INNOVATIVE SURGERY CENTER,"15547 N REEMS RD, SURPRISE, AZ 85374-9583",623-535-9777,Surgery Center,High,Other Medical,Low
INNOVATIVE SURGERY CENTER,"13575 W INDIAN SCHOOL RD, LITCHFIELD PARK, AZ 85340-4901",623-535-9777,Surgery Center,High,Other Medical,Low
"INTEGRITY PAIN AND ANESTHESIA, PLLC","8997 E DESERT COVE AVE, SCOTTSDALE, AZ 85260-6742",480-325-9600,Pain Management,Medium,Other Medical,Low
"INTEGRITY PAIN AND ANESTHESIA, PLLC","7436 E MAIN ST, MESA, AZ 85207-8338",480-325-9600,Pain Management,Medium,Other Medical,Low
"INTEGRITY PAIN AND ANESTHESIA, PLLC","6677 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-3709",480-325-9600,Pain Management,Medium,Other Medical,Low
LA PALOMA SURGERY CENTER,"4041 E SUNRISE DR, TUCSON, AZ 85718-4333",520-722-6277,Surgery Center,High,Other Medical,Low
LASER SURGERY CENTER - CG,"1760 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4764",480-444-7491,Surgery Center,High,Other Medical,Low
Laser Surgery Center - Tempe,"2000 E SOUTHERN AVE # SUI, TEMPE, AZ 85282-7510",480-444-7491,Surgery Center,High,Other Medical,Low
Mayo Clinic Ambulatory Surgery Center,"13400 E SHEA BLVD, SCOTTSDALE, AZ 85259-5452",480-342-4201,Surgery Center,High,Other Medical,Low
McDowell Ambulatory Surgery Center Llc,"4860 E BASELINE RD, MESA, AZ 85206-4669",602-265-8800,Surgery Center,High,Other Medical,Low
"MCDOWELL AMBULATORY SURGERY CENTER, LLC","1301 E MCDOWELL RD, PHOENIX, AZ 85006-2621",602-265-8800,Surgery Center,High,Other Medical,Low
"Mesquite Surgery Center, Llc","7445 E TANQUE VERDE RD, TUCSON, AZ 85715-3477",520-722-0929,Surgery Center,High,Other Medical,Low
"METRO SURGERY CENTER, LLC","6790 W THUNDERBIRD RD, PEORIA, AZ 85381-5023",623-979-1717,Surgery Center,High,Other Medical,Low
MIDWESTERN UNIVERSITY MULTISPECIALTY CLINIC,"19389 N 59TH AVE, GLENDALE, AZ 85308-6500",623-537-6000,Specialty Medical,High,Other Medical,Low
MINIMALLY INVASIVE SPINE SURGERY CENTER OF PARADIS,"3135 E LINCOLN DR STE A, PHOENIX, AZ 85016-2301",623-435-4670,Surgery Center,High,Other Medical,Low
MODERN AMBULATORY SURGERY CENTER,"4860 E BASELINE RD, MESA, AZ 85206-4669",602-265-8800,Surgery Center,High,Other Medical,Low
"MOSHARRAFA OUTPATIENT SURGERY CENTER, LLC","4611 E SHEA BLVD, PHOENIX, AZ 85028-4254",602-996-4713,Surgery Center,High,Other Medical,Low
MOUNTAIN VIEW PAIN SPECIALIST,"9000 W THUNDERBIRD RD # SU, PEORIA, AZ 85381-4451",303-860-5270,Pain Management,Medium,Other Medical,Low
MOUNTAIN VIEW PAIN SPECIALISTS,"2222 W DUNLAP AVE STE 190, PHOENIX, AZ 85021-2800",719-414-7862,Pain Management,Medium,Other Medical,Low
MOUNTAIN VIEW PAIN SPECIALISTS,"6622 N 91ST AVE, GLENDALE, AZ 85305-2512",720-541-8643,Pain Management,Medium,Other Medical,Low
MOUNTAIN VIEW SURGERY CENTER OF GILBERT,"2450 E GUADALUPE RD, GILBERT, AZ 85234-5116",480-398-8456,Surgery Center,High,Other Medical,Low
MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,"18555 N 79TH AVE, GLENDALE, AZ 85308-8370",602-509-4058,Surgery Center,High,Other Medical,Low
MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,"8962 E DESERT COVE AVE, SCOTTSDALE, AZ 85260-6984",480-661-5232,Surgery Center,High,Other Medical,Low
MT GRAHAM SPINE AND PAIN,"2241 W 16TH ST, SAFFORD, AZ 85546-4085",928-432-6369,Specialty Medical,High,Other Medical,Low
NAES SURGERY CENTER,"900 N SAN FRANCISCO ST, FLAGSTAFF, AZ 86001-3236",928-779-7000,Surgery Center,High,Other Medical,Low
NEURODIAGNOSTIC LABORATORIES,"8687 E VIA DE VENTURA, SCOTTSDALE, AZ 85258-3347",602-424-4450,Specialty Medical,High,Other Medical,Low
NEURODIAGNOSTIC LABS - EAST MESA,"6136 E BROWN RD, MESA, AZ 85205-4961",602-424-4450,Specialty Medical,High,Other Medical,Low
NEURODIAGNOSTIC LABS - MESA,"2266 S DOBSON RD, MESA, AZ 85202-6488",602-424-4450,Specialty Medical,High,Other Medical,Low
NEURODIAGNOSTIC LABS - PHOENIX,"2423 W DUNLAP AVE, PHOENIX, AZ 85021-2830",602-424-4450,Specialty Medical,High,Other Medical,Low
NEURODIAGNOSTIC LABS- AVONDALE,"10320 W MCDOWELL RD, AVONDALE, AZ 85392-4863",602-424-4450,Specialty Medical,High,Other Medical,Low
NORTH SCOTTSDALE AMBULATORY SURGERY CENTER,"9439 E IRONWOOD SQUARE DR, SCOTTSDALE, AZ 85258-4573",480-355-3750,Surgery Center,High,Other Medical,Low
NORTH SCOTTSDALE OUTPATIENT SURGERY CENTER,"8913 E BELL RD STE 101, SCOTTSDALE, AZ 85260-1599",480-860-2173,Surgery Center,High,Other Medical,Low
NORTH VALLEY SURGERY CENTER,"8901 E RAINTREE DR, SCOTTSDALE, AZ 85260-7026",480-767-2100,Surgery Center,High,Other Medical,Low
NORTHERN ARIZONA HEALTHCARE MEDICAL GROUP CARDIOLO,"269 S CANDY LN STE 2C, COTTONWOOD, AZ 86326-4158",928-214-2753,Specialty Medical,High,Other Medical,Low
NORTHERN ARIZONA HEALTHCARE MEDICAL GROUP CARDIOLO,"2000 S THOMPSON ST, FLAGSTAFF, AZ 86001-8759",928-214-2753,Specialty Medical,High,Other Medical,Low
NORTHWEST CARDIOLOGY & PULMONOLOGY AT HOUGHTON,"2300 S HOUGHTON RD, TUCSON, AZ 85748-0046",520-545-0953,Specialty Medical,High,Other Medical,Low
NORTHWEST CARDIOLOGY AND SPECIALITY CARE,"16260 S RANCHO SAHUARITA BLVD, SAHUARITA, AZ 85629-0047",520-907-4606,Specialty Medical,High,Other Medical,Low
NORTHWEST CARDIOLOGY AT GATEWAY,"6320 N LA CHOLLA BLVD, TUCSON, AZ 85741-3548",520-268-0196,Specialty Medical,High,Other Medical,Low
NORTHWEST CARDIOLOGY AT ORO VALLEY,"1521 E TANGERINE RD, ORO VALLEY, AZ 85755-6225",520-544-5524,Specialty Medical,High,Other Medical,Low
NORTHWEST EMERGENCY CENTER AT MARANA,"6350 W MARANA CENTER BLVD, TUCSON, AZ 85742-8569",520-901-9258,Hospital,High,Other Medical,Low
NORTHWEST EMERGENCY CENTER AT VAIL,"10146 E OLD VAIL RD, TUCSON, AZ 85747-9406",520-574-7400,Hospital,High,Other Medical,Low
NORTHWEST TUCSON SURGERY CENTER,"6320 N LA CHOLLA BLVD, TUCSON, AZ 85741-3548",520-877-6700,Surgery Center,High,Other Medical,Low
NOVASPINE PAIN INSTITUTE,"13203 N 103RD AVE, SUN CITY, AZ 85351-3028",623-777-4747,Specialty Medical,High,Other Medical,Low
"Ocotillo Surgery Center, LLC","3920 S ROME ST, GILBERT, AZ 85297-7366",480-597-4778,Surgery Center,High,Other Medical,Low
Old Town Scottsdale Surgery Center,"7242 E OSBORN RD STE 30, SCOTTSDALE, AZ 85251-6487",480-634-8554,Surgery Center,High,Other Medical,Low
"OMNIA PAIN CONSULTANTS, PA","5051 E THOMAS RD, PHOENIX, AZ 85018-7912",480-473-7246,Pain Management,Medium,Other Medical,Low
ORANGE MEDICAL PAIN MANAGEMENT,"2626 E UNIVERSITY DR # 11, MESA, AZ 85213-8478",480-526-5300,Pain Management,Medium,Other Medical,Low
"OUTPATIENT SURGICAL CENTER OF ARIZONA, LLC","13215 N 7TH ST, PHOENIX, AZ 85022-5300",480-581-1330,Surgery Center,High,Other Medical,Low
"PAIN AND SPINE TREATMENT CENTER, LLC","16620 N 40TH ST, PHOENIX, AZ 85032-3348",602-350-0491,Specialty Medical,High,Other Medical,Low
"PAIN CENTER OF ARIZONA, P C, THE","3645 S ROME ST STE 216, GILBERT, AZ 85297-7338",623-516-8252,Pain Management,Medium,Other Medical,Low
"PAIN CENTER OF ARIZONA, P C, THE","9250 W THOMAS RD STE 200, PHOENIX, AZ 85037-3382",623-516-8252,Pain Management,Medium,Other Medical,Low
"PAIN CENTER OF ARIZONA, P C, THE","3110 CLEARWATER DR, PRESCOTT, AZ 86305-7177",623-516-8252,Pain Management,Medium,Other Medical,Low
"PAIN CENTER OF ARIZONA, P C, THE","20333 N 19TH AVE STE 100, PHOENIX, AZ 85027-3602",623-516-8252,Pain Management,Medium,Other Medical,Low
"PAIN EXPERTS OF ARIZONA, PC","3370 S MERCY RD STE 3, GILBERT, AZ 85297-0414",480-550-9393,Pain Management,Medium,Other Medical,Low
PAIN INSTITUTE OF SOUTHERN ARIZONA,"335 S OCOTILLO AVE, BENSON, AZ 85602",520-829-6776,Pain Management,Medium,Other Medical,Low
PAIN INSTITUTE OF SOUTHERN ARIZONA PROCEDURE CNTR,"4741 E CAMP LOWELL DR, TUCSON, AZ 85712-1256",520-829-6620,Pain Management,Medium,Other Medical,Low
PAIN MDS,"2525 W CAREFREE HWY, PHOENIX, AZ 85085-6093",602-592-4567,Pain Management,Medium,Other Medical,Low
"PAIN MDS AMBULATORY SURGICAL CENTER, LLC","16390 N 59TH AVE, GLENDALE, AZ 85306-1711",602-510-3203,Surgery Center,High,Other Medical,Low
PARADISE VALLEY COSMETIC SURGERY CENTER,"5410 N SCOTTSDALE RD # SU, PARADISE VALLEY, AZ 85253-5927",480-994-4080,Surgery Center,High,Other Medical,Low
Paradise Valley Multispecialty Surgery Center,"7125 E LINCOLN DR STE A201, PARADISE VALLEY, AZ 85253-4429",480-680-2250,Surgery Center,High,Other Medical,Low
PARADISE VALLEY OUTPATIENT SURGERY CENTER,"5410 N SCOTTSDALE RD # SU, PARADISE VALLEY, AZ 85253-5927",480-423-1973,Surgery Center,High,Other Medical,Low
"PARADISE VALLEY PAIN AND WELLNESS, PLLC","5051 E THOMAS RD, PHOENIX, AZ 85018-7912",480-473-7246,Pain Management,Medium,Other Medical,Low
PARADISE VALLEY RECOVERY CARE CENTER,"5410 N SCOTTSDALE RD # SU, PARADISE VALLEY, AZ 85253-5927",480-994-4080,Rehab,High,Other Medical,Low
Peak Cardiovascular Center LLC,"12361 W BOLA DR STE 112, SURPRISE, AZ 85378-9021",623-200-5397,Specialty Medical,High,Other Medical,Low
PEAK SURGERY CENTER OF AVONDALE,"10825 W MCDOWELL RD, AVONDALE, AZ 85392-5014",509-496-7435,Surgery Center,High,Other Medical,Low
PEAK SURGICAL CENTER LLC,"6424 E BROADWAY RD STE 102, MESA, AZ 85206-1750",480-634-4606,Surgery Center,High,Other Medical,Low
PHOENICIAN NEUROLOGICAL AND PAIN,"201 W GUADALUPE RD STE 310, GILBERT, AZ 85233-3319",480-776-2982,Specialty Medical,High,Other Medical,Low
PHOENICIAN NEUROLOGICAL AND PAIN,"606 N COUNTRY CLUB DR, MESA, AZ 85201-5700",480-963-1853,Specialty Medical,High,Other Medical,Low
PHOENICIAN NEUROLOGICAL AND PAIN,"515 W BUCKEYE RD STE 303, PHOENIX, AZ 85003-2650",480-963-1853,Specialty Medical,High,Other Medical,Low
PHOENICIAN NEUROLOGY,"2330 N 75TH AVE STE 208, PHOENIX, AZ 85035-1207",480-776-2982,Specialty Medical,High,Other Medical,Low
PHOENICIAN PAIN,"2000 E SOUTHERN AVE STE 108, TEMPE, AZ 85282-7556",480-444-7480,Pain Management,Medium,Other Medical,Low
PHOENICIAN PAIN,"2000 E SOUTHERN AVE STE 106, TEMPE, AZ 85282-7510",480-444-7480,Pain Management,Medium,Other Medical,Low
PHOENICIAN PAIN,"3336 E CHANDLER HEIGHTS RD # SUI, GILBERT, AZ 85298-4259",480-444-7480,Pain Management,Medium,Other Medical,Low
PHOENICIAN PAIN CENTER,"6677 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-3709",480-963-1853,Pain Management,Medium,Other Medical,Low
PHOENICIAN PAIN CENTER - 75TH AVE,"2330 N 75TH AVE STE 1, PHOENIX, AZ 85035-1200",480-444-7480,Pain Management,Medium,Other Medical,Low
PHOENICIAN PAIN MANAGEMENT,"13620 N SAGUARO BLVD STE 90, FOUNTAIN HILLS, AZ 85268-8552",480-444-7480,Pain Management,Medium,Other Medical,Low
PHOENICIAN PAIN MANAGEMENT,"13943 N 91ST AVE # E, PEORIA, AZ 85381-3629",480-963-1853,Pain Management,Medium,Other Medical,Low
PHOENIX CHILDREN'S MEDICAL GROUP CARDIOLOGY - TEMP,"7505 S MCCLINTOCK DR, TEMPE, AZ 85283-5042",602-933-1000,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 1, GILBERT, AZ 85297-0414",602-933-6189,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 1, GILBERT, AZ 85297-0414",602-933-3033,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 213, GILBERT, AZ 85297-0417",602-933-1000,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 1, GILBERT, AZ 85297-0414",602-933-0930,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 2, GILBERT, AZ 85297-0414",602-933-5437,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 1, GILBERT, AZ 85297-0414",602-933-1968,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 2, GILBERT, AZ 85297-0414",602-933-0016,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 1, GILBERT, AZ 85297-0414",902-933-0935,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD STE 2, GILBERT, AZ 85297-0414",602-933-1000,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SPECIALTY CLINIC AT MERCY GILBE,"3370 S MERCY RD, GILBERT, AZ 85297-0414",602-933-1000,Specialty Medical,High,Other Medical,Low
PHOENIX CHILDREN'S SURGERY CENTER,"1920 E CAMBRIDGE AVE # SU, PHOENIX, AZ 85006-1459",602-604-9400,Surgery Center,High,Other Medical,Low
PHOENIX CHILDREN'S SURGERY CENTER - EAST VALLEY,"5131 E SOUTHERN AVE, MESA, AZ 85206-2799",480-512-0400,Surgery Center,High,Other Medical,Low
PHOENIX CHILDREN’S SPECIALTY CARE & EMERGENCY DEPA,"1665 N AVONDALE BLVD, AVONDALE, AZ 85392-5006",623-312-2000,Hospital,High,Other Medical,Low
PHOENIX ER,"3050 S DOBSON RD, CHANDLER, AZ 85248-4906",713-660-0557,Hospital,High,Other Medical,Low
PHOENIX MOUNTAIN POST ACUTE,"13232 N TATUM BLVD, PHOENIX, AZ 85032-6459",602-996-5200,Rehab,High,Other Medical,Low
PHOENIX NEUROLOGICAL & PAIN INSTITUTE,"10720 E SOUTHERN AVE # SUI, MESA, AZ 85209-3810",480-963-1853,Specialty Medical,High,Other Medical,Low
PHOENIX NEUROLOGICAL INSTITUTE,"1343 N ALMA SCHOOL RD, CHANDLER, AZ 85224-5941",480-776-2982,Specialty Medical,High,Other Medical,Low
PHOENIX NEUROLOGY & SLEEP MEDICINE,"300 E OSBORN RD STE 20, PHOENIX, AZ 85012-2325",623-535-0050,Specialty Medical,High,Other Medical,Low
"PHOENIX NEUROLOGY & SLEEP MEDICINE, PLLC","2940 N LITCHFIELD RD, GOODYEAR, AZ 85395-7830",623-535-0050,Specialty Medical,High,Other Medical,Low
"PHOENIX NEUROLOGY AND SLEEP MEDICINE, PLLC","20100 N 51ST AVE, GLENDALE, AZ 85308-5125",623-535-0050,Specialty Medical,High,Other Medical,Low
"PHOENIX PAIN TREATMENT CENTERS, PLLC","9140 W THOMAS RD STE B, PHOENIX, AZ 85037-3378",623-266-9504,Pain Management,Medium,Other Medical,Low
"PHOENIX SPINE AND JOINT GILBERT,ASC, LLC","1760 E PECOS RD STE 128, GILBERT, AZ 85295-3206",602-256-2525,Specialty Medical,High,Other Medical,Low
"PHOENIX SPINE GOODYEAR ASC, LLC","140 N LITCHFIELD RD # SUI, GOODYEAR, AZ 85338-1277",602-256-2525,Specialty Medical,High,Other Medical,Low
PHX CHILDREN'S HOSP SPEC CARE CARDIOLOGY SCOTTSDAL,"10250 N 92ND ST, SCOTTSDALE, AZ 85258-4510",480-551-5154,Specialty Medical,High,Other Medical,Low
"PHYSICIANS SURGICAL CENTER, LLC","7102 E ACOMA DR, SCOTTSDALE, AZ 85254-2771",480-444-8364,Surgery Center,High,Other Medical,Low
PHYSICIANS' SURGERY CENTER,"1800 HIGHWAY 95 STE 5, BULLHEAD CITY, AZ 86442-6803",928-763-1919,Surgery Center,High,Other Medical,Low
PIMA PAIN CENTER,"4601 E BROADWAY BLVD, TUCSON, AZ 85711-3511",520-399-6002,Pain Management,Medium,Other Medical,Low
PIMA PAIN CENTER,"6226 E PIMA ST STE 3, TUCSON, AZ 85712-7005",520-399-6000,Pain Management,Medium,Other Medical,Low
PIMA PAIN CENTER,"1310 W SAINT MARYS RD, TUCSON, AZ 85745-3170",520-399-6000,Pain Management,Medium,Other Medical,Low
PIMA PAIN CENTER,"2158 N GILBERT RD, MESA, AZ 85203-2109",520-399-6000,Pain Management,Medium,Other Medical,Low
PIMA PAIN CENTER,"6840 E BROADWAY BLVD, TUCSON, AZ 85710-2809",520-399-6000,Pain Management,Medium,Other Medical,Low
PIMA PAIN CENTER,"4485 S I 19 FRONTAGE RD, GREEN VALLEY, AZ 85614-5884",520-399-6000,Pain Management,Medium,Other Medical,Low
PIMA PAIN CENTER,"7530 N ORACLE RD, TUCSON, AZ 85704-4450",520-399-6000,Pain Management,Medium,Other Medical,Low
PIMA PAIN CENTER,"2275 W MAGEE RD STE 11, TUCSON, AZ 85742-4309",520-399-6000,Pain Management,Medium,Other Medical,Low
PIONEER SPORTS AND SPINE,"4915 E BASELINE RD, GILBERT, AZ 85234-2965",480-249-5525,Specialty Medical,High,Other Medical,Low
"PLASTIC SURGERY CENTER AT KIERLAND, THE","7102 E ACOMA DR, SCOTTSDALE, AZ 85254-2771",480-483-6200,Surgery Center,High,Other Medical,Low
PLATINUM SURGERY CENTER LLC,"1981 E BONANZA CT STE 101, GILBERT, AZ 85297-8014",480-466-7355,Surgery Center,High,Other Medical,Low
Precision Surgery Center LLC,"2121 N CRAYCROFT RD BLDG 6, TUCSON, AZ 85712-2845",520-372-1301,Surgery Center,High,Other Medical,Low
PREMIER PAIN & WELLNESS,"9242 W UNION HILLS DR, PEORIA, AZ 85382-8218",602-644-7004,Pain Management,Medium,Other Medical,Low
"Prescott Outpatient Surgical Center, LLC","815 AINSWORTH DR, PRESCOTT, AZ 86301-1631",928-778-9770,Surgery Center,High,Other Medical,Low
PRESCOTT VALLEY PAIN MANAGEMENT,"8046 E YAVAPAI RD, PRESCOTT VALLEY, AZ 86314-8442",602-589-0500,Pain Management,Medium,Other Medical,Low
"PRIME SURGICAL CENTER OF AVONDALE, LLC","10825 W MCDOWELL RD, AVONDALE, AZ 85392-5014",818-937-9969,Surgery Center,High,Other Medical,Low
"PRIME SURGICAL CENTER OF MESA, LLC","6309 E BAYWOOD AVE # SUI, MESA, AZ 85206-1744",949-903-3210,Surgery Center,High,Other Medical,Low
PULSE CARDIOVASCULAR INTERVENTIONS,"7285 E EARLL DR, SCOTTSDALE, AZ 85251-7230",480-600-0600,Specialty Medical,High,Other Medical,Low
REGENCY AMBULATORY SURGERY CENTER ONE LLC,"14725 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-2704",623-243-9077,Surgery Center,High,Other Medical,Low
REMBRANDT OUTPATIENT SURGERY CENTER PLLC,"6859 E REMBRANDT AVE # SU, MESA, AZ 85212-3628",480-809-6266,Surgery Center,High,Other Medical,Low
Riviera Surgical Center,"3003 HIGHWAY 95 #63, BULLHEAD CITY, 96442",909-245-2381,Surgery Center,High,Other Medical,Low
"SAGUARO JOINT AND SPINE, LLC","2919 S ELLSWORTH RD STE 109, MESA, AZ 85212-2165",480-597-4321,Specialty Medical,High,Other Medical,Low
SAN LUIS OUTPATIENT SURGERY CENTER,"151 S OAK AVE STE 6, SAN LUIS, AZ 85336-0756",928-315-7910,Surgery Center,High,Other Medical,Low
SANTAN SURGERY CENTER,"1704 E BOSTON ST, GILBERT, AZ 85295-6223",480-656-8600,Surgery Center,High,Other Medical,Low
SCOTTSDALE EYE SURGERY CENTER,"8414 N 90TH ST, SCOTTSDALE, AZ 85258-4348",480-949-1208,Surgery Center,High,Other Medical,Low
SCOTTSDALE OUTPATIENT SURGERY CENTER,"8994 E DESERT COVE AVE, SCOTTSDALE, AZ 85260-7901",480-551-2040,Surgery Center,High,Other Medical,Low
"SCOTTSDALE PAIN CENTER, LLC","7010 E CHAUNCEY LN, PHOENIX, AZ 85054-3111",480-935-3382,Pain Management,Medium,Other Medical,Low
SCOTTSDALE SURGERY CENTER,"8900 E RAINTREE DR, SCOTTSDALE, AZ 85260-7307",480-300-4489,Surgery Center,High,Other Medical,Low
SHEA PAIN SOLUTIONS LLC,"2629 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85257-1370",480-307-8258,Pain Management,Medium,Other Medical,Low
SIERRA VISTA MEDICAL GROUP MULTI SPECIALTY CLINIC,"5750 E HIGHWAY 90 STE 20, SIERRA VISTA, AZ 85635-9111",520-263-3001,Specialty Medical,High,Other Medical,Low
"SKI AMBULATORY SURGICAL CENTERS, LLC","7362 W THUNDERBIRD RD # SU, PEORIA, AZ 85381-5028",480-610-6152,Surgery Center,High,Other Medical,Low
"SKI Ambulatory Surgical Centers, LLC","325 S EUCLID AVE, TUCSON, AZ 85719-6653",520-623-7255,Surgery Center,High,Other Medical,Low
"SKI AMBULATORY SURGICAL CENTERS, LLC","1100 E UNIVERSITY DR # SU, TEMPE, AZ 85288-8401",480-610-6152,Surgery Center,High,Other Medical,Low
Sol Valley Surgery Center,"77 S DOBSON RD STE 2, CHANDLER, AZ 85224-6290",480-530-0111,Surgery Center,High,Other Medical,Low
SONORAN DESERT SURGERY CENTER,"895 S DOBSON RD STE 3, CHANDLER, AZ 85224-5721",602-445-9214,Surgery Center,High,Other Medical,Low
"SONORAN PAIN CONSULTANTS, PLLC","13090 N 94TH DR, PEORIA, AZ 85381-4256",833-578-7246,Pain Management,Medium,Other Medical,Low
SOUTH MOUNTAIN POST ACUTE,"8008 S JESSE OWENS PKWY, PHOENIX, AZ 85042-6516",602-243-2748,Rehab,High,Other Medical,Low
South Valley Surgical Center,"36453 N GANTZEL RD, SAN TAN VALLEY, AZ 85140-7339",309-202-4484,Surgery Center,High,Other Medical,Low
"SOUTHWEST CARDIOVASCULAR INTERVENTIONAL CENTER, LL","7529 E BROADWAY RD STE 104, MESA, AZ 85208-2007",480-690-8989,Specialty Medical,High,Other Medical,Low
SOUTHWESTERN EYE CENTER-STAPLEY SURGERY CENTER,"1055 S STAPLEY DR, MESA, AZ 85204-5013",480-892-8400,Surgery Center,High,Other Medical,Low
SPECIALTY ASSOCIATES CARDIOVASCULAR AND THORACIC C,"1851 MESQUITE AVE STE 116, LAKE HAVASU CITY, AZ 86403-5680",928-453-0890,Specialty Medical,High,Other Medical,Low
SPECIALTY ASSOCIATES NEUROLOGY,"1851 MESQUITE AVE STE 106, LAKE HAVASU CITY, AZ 86403-5680",928-453-1242,Specialty Medical,High,Other Medical,Low
SPECIALTY ASSOCIATES PAIN MANAGEMENT,"1775 MCCULLOCH BLVD N, LAKE HAVASU CITY, AZ 86403-6549",928-453-0696,Pain Management,Medium,Other Medical,Low
SPECIALTY CLINIC,"151 S OAK AVE STE 5, SAN LUIS, AZ 85336-0756",928-662-0416,Specialty Medical,High,Other Medical,Low
SPECIALTY PAIN MANAGEMENT,"275 E COTTONWOOD LN, CASA GRANDE, AZ 85122-2556",480-496-2699,Pain Management,Medium,Other Medical,Low
SPECIALTY PAIN MANAGEMENT,"1466 W ELLIOT RD, GILBERT, AZ 85233-5186",480-496-2699,Pain Management,Medium,Other Medical,Low
ST JOSEPH'S HOSP AND MED CTR EMERGENCY DEPT - LITC,"4975 N DYSART RD, LITCHFIELD PARK, AZ 85340-3082",602-406-0077,Hospital,High,Other Medical,Low
ST JOSEPH'S RECOVERY CARE CENTER,"240 W THOMAS RD STE B, PHOENIX, AZ 85013-4407",602-406-4652,Rehab,High,Other Medical,Low
"ST. JOSEPH'S OUTPATIENT SURGERY CENTER, LLC","240 W THOMAS RD STE A, PHOENIX, AZ 85013-4407",602-406-3552,Surgery Center,High,Other Medical,Low
Star Surgery Center LLC,"14155 N 83RD AVE STE 14, PEORIA, AZ 85381-5639",623-248-5842,Surgery Center,High,Other Medical,Low
SUMMIT HEALTHCARE OUTPATIENT SURGERY CENTER,"4951 S WHITE MOUNTAIN RD # B, SHOW LOW, AZ 85901-7827",928-537-6888,Surgery Center,High,Other Medical,Low
SUNRISE AMBULATORY SURGICAL CENTER,"5448 SOUTH WHITE MOUNTAIN BOUL, LAKESIDE, AZ 85929",928-532-3010,Surgery Center,High,Other Medical,Low
SURGERY CENTER AT RIVER ROAD,"2490 E RIVER RD STE 15, TUCSON, AZ 85718-6522",520-382-1084,Surgery Center,High,Other Medical,Low
"SURGERY CENTER OF GILBERT, LLC","6003 E BASELINE RD, MESA, AZ 85206-4815",480-641-6500,Surgery Center,High,Other Medical,Low
"Surgery Center of Peoria, LLC","13260 N 94TH DR, PEORIA, AZ 85381-4828",623-933-2900,Surgery Center,High,Other Medical,Low
"Surgical Centers Of Arizona, LLC","2629 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85257-1370",602-510-3203,Surgery Center,High,Other Medical,Low
SURPRISE PAIN MANAGEMENT,"13967 W GRAND AVE, SURPRISE, AZ 85374-3732",602-589-0500,Pain Management,Medium,Other Medical,Low
"Swan Surgery Center, LLC","1505 N SWAN RD, TUCSON, AZ 85712-4044",520-795-3090,Surgery Center,High,Other Medical,Low
TEMPE ADVANCED SURGERY CENTER PLLC,"1855 E SOUTHERN AVE, TEMPE, AZ 85282-5894",480-900-8892,Surgery Center,High,Other Medical,Low
TEMPE POST ACUTE,"6100 S RURAL RD, TEMPE, AZ 85283-2904",480-831-8660,Rehab,High,Other Medical,Low
"THE PAIN CENTER OF ARIZONA, PC","895 S DOBSON RD STE 1, CHANDLER, AZ 85224-5721",602-770-6307,Pain Management,Medium,Other Medical,Low
"THE PAIN CENTER OF ARIZONA, PC","1704 W ANKLAM RD STE 1, TUCSON, AZ 85745-2656",623-516-8252,Pain Management,Medium,Other Medical,Low
