Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type (v1 base),After name refinement,Hospice remapped to Other
HEARTS OF HOSPICE LLC,"11225 N 28TH DR STE A, PHOENIX, AZ 85029-5606",480-572-0132,Other,Medium,Hospice,Hospice,yes
HIDDEN HILLS HOSPICE,"1825 E NORTHERN AVE STE 161, PHOENIX, AZ 85020-3812",602-675-0277,Other,Medium,Hospice,Hospice,yes
Holy Cross Hospice,"1103 S MESA DR, MESA, AZ 85210-8722",480-718-5678,Other,Medium,Hospice,Hospice,yes
Horizon Hospice,"2720 E THOMAS RD STE B, PHOENIX, AZ 85016-8299",480-894-5113,Other,Medium,Hospice,Hospice,yes
Hospice At Heart To Heart Inc,"13231 N 35TH AVE STE 10A, PHOENIX, AZ 85029-1233",480-808-8885,Other,Medium,Hospice,Hospice,yes
"HOSPICE AT HOME OF ARIZONA, LLC","2500 S POWER RD, MESA, AZ 85209-6686",480-478-0643,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS - BULLHEAD CITY,"2755 SILVER CREEK RD, BULLHEAD CITY, AZ 86442-7904",928-763-6433,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS - BULLHEAD CITY,"1940 MESQUITE AVE STE I, LAKE HAVASU CITY, AZ 86403-6123",928-302-2251,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS - SEDONA/ FLAGSTAFF,"7000 STATE ROUTE 179 STE D1, SEDONA, AZ 86351-9270",928-284-0180,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS - SEDONA/ FLAGSTAFF,"1030 N SAN FRANCISCO ST, FLAGSTAFF, AZ 86001-3252",928-556-1500,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS - SEDONA/ FLAGSTAFF/ PRESCOTT,"3033 N WINDSONG DR STE 205, PRESCOTT VALLEY, AZ 86314-2297",928-775-0103,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS - WHITE MOUNTAIN,"1789 COMMERCE DR, LAKESIDE, AZ 85929-5354",928-368-4400,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS - YUMA,"2320 S 22ND DR OFC, YUMA, AZ 85364-8867",928-344-6100,Other,Medium,Hospice,Hospice,yes
Hospice Compassus-Casa Grande,"1675 E MONUMENT PLAZA CIR, CASA GRANDE, AZ 85122-5600",520-421-7143,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS-PAYSON,"511 S MUD SPRINGS RD, PAYSON, AZ 85541-5747",928-472-6340,Other,Medium,Hospice,Hospice,yes
HOSPICE COMPASSUS-PAYSON (031523),"511 S MUD SPRINGS RD # SUI, PAYSON, AZ 85541-5747",928-472-6340,Other,Medium,Hospice,Hospice,yes
HOSPICE FAMILY CARE,"275 W CONTINENTAL RD # SUI, GREEN VALLEY, AZ 85622-3624",520-499-3072,Other,Medium,Hospice,Hospice,yes
"HOSPICE FAMILY CARE, INC - MARANA","8245 N SILVERBELL RD # SU, TUCSON, AZ 85743-7381",520-579-9936,Other,Medium,Hospice,Hospice,yes
Hospice In The Desert LLC,"639 E SPEEDWAY BLVD, TUCSON, AZ 85705-7433",520-248-8129,Other,Medium,Hospice,Hospice,yes
"HOSPICE OF AMERICA, LLC","1837 S MESA DR STE C, MESA, AZ 85210-6246",480-219-8259,Other,Medium,Hospice,Hospice,yes
"HOSPICE OF HAVASU, INC.","232 LONDON BRIDGE RD, LAKE HAVASU CITY, AZ 86403-4647",928-453-2111,Other,Medium,Hospice,Hospice,yes
"HOSPICE OF HOPE, LLC","17505 N 79TH AVE, GLENDALE, AZ 85308-8725",623-399-6910,Other,Medium,Hospice,Hospice,yes
"Hospice Of Payson, LLC","900 N BEELINE HWY # SUI, PAYSON, AZ 85541-3769",928-474-2415,Other,Medium,Hospice,Hospice,yes
Hospice Of Phoenix Inc,"16165 N 83RD AVE, PEORIA, AZ 85382-5816",602-675-9090,Other,Medium,Hospice,Hospice,yes
Hospice Of Stars Inc,"10000 N 31ST AVE STE C202, PHOENIX, AZ 85051-9620",602-732-7355,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE VALLEY - CENTRAL,"1510 E FLOWER ST, PHOENIX, AZ 85014-5656",602-287-7000,Other,Medium,Hospice,Hospice,yes
Hospice of the Valley - West (031515),"9435 W PEORIA AVE, PEORIA, AZ 85345-6479",623-583-4848,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE VALLEY DOBSON HOME (031505),"1188 N DOBSON RD, CHANDLER, AZ 85224-4004",480-786-1900,Other,Medium,Hospice,Hospice,yes
Hospice of the Valley East,"2020 E WOODSIDE CT, GILBERT, AZ 85297-7339",480-730-5980,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE VALLEY RYAN HOUSE (031500),"110 W MUHAMMAD ALI WAY, PHOENIX, AZ 85013-4500",602-234-6750,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE VALLEY SURPRISE PCU (031515),"14066 W WADDELL RD, SURPRISE, AZ 85379-8736",623-975-9292,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE VALLEY'S SHERMAN HSPC HOME (031517),"5801 E MAYO BLVD, PHOENIX, AZ 85054-4503",480-585-0909,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE VALLEYS THUNDERBIRD PALLIATIVE CARE,"13614 N 59TH AVE, GLENDALE, AZ 85304-1204",602-978-1343,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE WEST,"21410 N 19TH AVE, PHOENIX, AZ 85027-2738",602-343-6422,Other,Medium,Hospice,Hospice,yes
HOSPICE OF THE WEST (031592),"3001 N MAIN ST STE 2, PRESCOTT VALLEY, AZ 86314-2293",928-968-5240,Other,Medium,Hospice,Hospice,yes
"HOSPICE OF THE WEST, LLC (031592)","5255 E WILLIAMS CIR # SUI, TUCSON, AZ 85711-7401",434-977-9711,Other,Medium,Hospice,Hospice,yes
"HOSPICE OF THE WEST, LLC (031592)","520 N CAMINO MERCADO STE 9, CASA GRANDE, AZ 85122-5754",434-977-9711,Other,Medium,Hospice,Hospice,yes
Hospice Of Tucson Inc,"4400 E BROADWAY BLVD, TUCSON, AZ 85711-3517",520-372-4365,Other,Medium,Hospice,Hospice,yes
HOSPICE OF YUMA,"1824 S 8TH AVE, YUMA, AZ 85364-5517",928-343-2222,Other,Medium,Hospice,Hospice,yes
"HOSPICE PROMISE, LLC","17235 N 75TH AVE STE E175, GLENDALE, AZ 85308-0870",623-209-7003,Other,Medium,Hospice,Hospice,yes
HOV LUND FAMILY HOSPICE HOME (031505),"1982 E WOODSIDE CT, GILBERT, AZ 85297-7333",480-786-4482,Other,Medium,Hospice,Hospice,yes
In Good Hands Hospice Inc,"4150 W PEORIA AVE STE B, PHOENIX, AZ 85029-3900",602-742-0365,Other,Medium,Hospice,Hospice,yes
IN MY HOME HOSPICE CARE,"1204 E BASELINE RD, TEMPE, AZ 85283-1454",480-590-6556,Other,Medium,Hospice,Hospice,yes
"INFINITY HOSPICE CARE, LLC","8434 E SHEA BLVD, SCOTTSDALE, AZ 85260-6670",602-381-0375,Other,Medium,Hospice,Hospice,yes
"INTEGRITY HOSPICE CARE, LLC","6877 S KINGS RANCH RD, GOLD CANYON, AZ 85118-6809",480-426-0255,Other,Medium,Hospice,Hospice,yes
JOAN AND DIANA HOSPICE HOME,"812 AIRWAY AVE, KINGMAN, AZ 86409-3588",928-757-0602,Other,Medium,Hospice,Hospice,yes
KIND HEARTS HOSPICE INC,"10210 N 32ND ST, PHOENIX, AZ 85028-3827",602-953-4875,Other,Medium,Hospice,Hospice,yes
LAVENDER HOSPICE,"20815 N 25TH PL, PHOENIX, AZ 85050-4608",602-283-3663,Other,Medium,Hospice,Hospice,yes
Legacy Hospice,"13207 E STATE ROUTE 169 STE B, DEWEY, AZ 86327-0018",928-460-5223,Other,Medium,Hospice,Hospice,yes
"Living Waters Hospice, LLC","3711 US HIGHWAY 68, GOLDEN VALLEY, AZ 86413-7520",928-565-9000,Other,Medium,Hospice,Hospice,yes
"LOVING HANDS HOSPICE, INC","11811 N TATUM BLVD, PHOENIX, AZ 85028-1614",602-612-8656,Other,Medium,Hospice,Hospice,yes
LUMICARE HOSPICE,"8777 E HARTFORD DR STE 130, SCOTTSDALE, AZ 85255-5692",602-795-9705,Other,Medium,Hospice,Hospice,yes
MAGGIE'S HOSPICE,"940 N SWITZER CANYON DR, FLAGSTAFF, AZ 86001-4852",928-775-2290,Other,Medium,Hospice,Hospice,yes
"MAGGIE'S HOSPICE, LLC","801 MILLER VALLEY RD, PRESCOTT, AZ 86301-1815",928-775-2290,Other,Medium,Hospice,Hospice,yes
MAGGIES HOSPICE LLC,"203 S CANDY LN STE 12, COTTONWOOD, AZ 86326-8114",928-496-6500,Other,Medium,Hospice,Hospice,yes
MANOR HOSPICE LTD,"4150 W PEORIA AVE, PHOENIX, AZ 85029-3900",602-691-0900,Other,Medium,Hospice,Hospice,yes
MARIPOSA HOSPICE LLC,"8751 N 51ST AVE STE 121H, GLENDALE, AZ 85302-4900",480-343-8045,Other,Medium,Hospice,Hospice,yes
MAYFLOWER HOSPICE CARE INC,"20 E THOMAS RD STE 2200, PHOENIX, AZ 85012-3133",480-933-1034,Other,Medium,Hospice,Hospice,yes
"MD HOSPICE CARE, LLC","7500 N DREAMY DRAW DR, PHOENIX, AZ 85020-4660",602-266-9971,Other,Medium,Hospice,Hospice,yes
MED CARE HOSPICE INC,"2415 E CAMELBACK RD, PHOENIX, AZ 85016-4288",602-805-4882,Other,Medium,Hospice,Hospice,yes
"MESA VIEW HOSPICE, LLC","4072 E FARM RD, LITTLEFIELD, AZ 86432-5175",928-347-4567,Other,Medium,Hospice,Hospice,yes
MIRAGE HOSPICE CARE INC,"11747 N 19TH AVE STE 10, PHOENIX, AZ 85029-3590",480-805-2353,Other,Medium,Hospice,Hospice,yes
"MOUNTAIN VIEW HOSPICE, LLC","8263 W THUNDERBIRD RD # SU, PEORIA, AZ 85381-4615",623-230-3698,Other,Medium,Hospice,Hospice,yes
NANA HOPE HOSPICE,"1620 N 48TH ST, PHOENIX, AZ 85008-7723",480-352-1667,Other,Medium,Hospice,Hospice,yes
NEIGHBORHOOD HOSPICE,"2338 W ROYAL PALM RD # SUI, PHOENIX, AZ 85021-9339",602-774-0051,Other,Medium,Hospice,Hospice,yes
"NEW BEGINNING HOSPICE AND PALLIATIVE CARE, LLC","18001 N 79TH AVE, GLENDALE, AZ 85308-8388",623-312-6271,Other,Medium,Hospice,Hospice,yes
NOBLE HOSPICE AND PALLIATIVE CARE,"2222 S DOBSON RD STE 1004, MESA, AZ 85202-6200",480-868-2845,Other,Medium,Hospice,Hospice,yes
NORTHERN ARIZONA HOSPICE,"203 S CANDY LN STE 2A, COTTONWOOD, AZ 86326-4172",928-639-6676,Other,Medium,Hospice,Hospice,yes
NORTHERN ARIZONA HOSPICE,"1501 S YALE ST, FLAGSTAFF, AZ 86001-7304",928-779-9795,Other,Medium,Hospice,Hospice,yes
"NORTHLAND HOSPICE AND PALLIATIVE CARE, INC.","452 N SWITZER CANYON DR, FLAGSTAFF, AZ 86001-4855",928-779-1227,Other,Medium,Hospice,Hospice,yes
"NUEVA HOSPICE & PALLIATIVE CARE, LLC","14362 N FRANK LLOYD WRIGHT BLVD, SCOTTSDALE, AZ 85260-8846",602-540-9690,Other,Medium,Hospice,Hospice,yes
OAKMONT HOSPICE LLC,"13416 N 32ND ST STE 107A, PHOENIX, AZ 85032-6000",480-716-4517,Other,Medium,Hospice,Hospice,yes
"OAKRIDGE HOSPICE, LLC","13416 N 32ND ST, PHOENIX, AZ 85032-6000",480-508-8588,Other,Medium,Hospice,Hospice,yes
"OMEGALIFE HOSPICE OF ARIZONA, INC","10000 N 31ST AVE, PHOENIX, AZ 85051-9582",602-606-8898,Other,Medium,Hospice,Hospice,yes
OPTIMAL HOSPICE INC,"64 E BROADWAY RD STE 2, TEMPE, AZ 85282-1353",623-887-8837,Other,Medium,Hospice,Hospice,yes
Oshyn Hospice and Palliative Care,"1870 W PRINCE RD STE 3, TUCSON, AZ 85705-2962",520-795-3535,Other,Medium,Hospice,Hospice,yes
OTIUM HOSPICE INC,"64 E BROADWAY RD STE 2, TEMPE, AZ 85282-1353",602-844-8245,Other,Medium,Hospice,Hospice,yes
Ovation Hospice of Phoenix,"410 N SCOTTSDALE RD STE 1000, TEMPE, AZ 85288-7095",602-669-9812,Other,Medium,Hospice,Hospice,yes
PASSION HOSPICE,"2550 W UNION HILLS DR, PHOENIX, AZ 85027-5163",480-485-8000,Other,Medium,Hospice,Hospice,yes
"Pillars Hospice Care, LLC","10221 N 32ND ST, PHOENIX, AZ 85028-3849",602-788-1138,Other,Medium,Hospice,Hospice,yes
POLARIS HOSPICE LLC,"8751 N 51ST AVE STE 1, GLENDALE, AZ 85302-4941",480-343-8045,Other,Medium,Hospice,Hospice,yes
POSITIVE NATURE HOSPICE LLC,"7620 N HARTMAN LN STE 180, TUCSON, AZ 85743-7485",520-614-6326,Other,Medium,Hospice,Hospice,yes
Prestige Health Hospice,"4555 S PALO VERDE RD STE 163, TUCSON, AZ 85714-1959",520-358-0946,Other,Medium,Hospice,Hospice,yes
PRIMAVERA HOSPICE LLC,"8751 N 51ST AVE, GLENDALE, AZ 85302-4941",480-330-6875,Other,Medium,Hospice,Hospice,yes
PRISM HOSPICE,"401 N ALMA SCHOOL RD # SU, CHANDLER, AZ 85224-4368",480-246-9242,Other,Medium,Hospice,Hospice,yes
PRISTINE HOSPICE LLC,"8607 N 59TH AVE, GLENDALE, AZ 85302-5433",480-343-8045,Other,Medium,Hospice,Hospice,yes
PRO CARE HOSPICE INC,"3420 E SHEA BLVD STE 200, PHOENIX, AZ 85028-3348",602-805-7770,Other,Medium,Hospice,Hospice,yes
PRO LIFE HOSPICE CARE INC,"4150 W PEORIA AVE, PHOENIX, AZ 85029-3900",480-674-0595,Other,Medium,Hospice,Hospice,yes
"QUALITY HOSPICE CARE, INC.","3085 N WINDSONG DR STE B, PRESCOTT VALLEY, AZ 86314-2248",480-588-8200,Other,Medium,Hospice,Hospice,yes
RD Hospice,"16165 N 83RD AVE STE 20, PEORIA, AZ 85382-5816",623-688-0011,Other,Medium,Hospice,Hospice,yes
Remedy Hospice Care Inc,"1555 E UNIVERSITY DR, MESA, AZ 85203-8141",480-213-7845,Other,Medium,Hospice,Hospice,yes
"RIVER HOSPICE, LLC","1930 S ALMA SCHOOL RD, MESA, AZ 85210-3064",623-810-1320,Other,Medium,Hospice,Hospice,yes
RIVER VALLEY HOSPICE,"3954 FRONTAGE RD, BULLHEAD CITY, AZ 86442-8176",928-683-4041,Other,Medium,Hospice,Hospice,yes
RIVER VALLEY HOSPICE,"1317 S JOSHUA AVE, PARKER, AZ 85344-5721",928-683-4041,Other,Medium,Hospice,Hospice,yes
RIVER VALLEY HOSPICE,"2601 N STOCKTON HILL RD, KINGMAN, AZ 86401-4191",928-293-2363,Other,Medium,Hospice,Hospice,yes
RNHA HOSPICE CARE INC,"4150 W PEORIA AVE STE 114-B, PHOENIX, AZ 85029-3949",480-300-3130,Other,Medium,Hospice,Hospice,yes
ROYAL HOSPICE CARE LLC,"14809 N 73RD ST, SCOTTSDALE, AZ 85260-3104",480-626-8242,Other,Medium,Hospice,Hospice,yes
Ruby Hospice Care Inc,"4150 W PEORIA AVE, PHOENIX, AZ 85029-3900",602-887-3105,Other,Medium,Hospice,Hospice,yes
SAGE HOSPICE,"4733 N 1ST AVE, TUCSON, AZ 85718-5610",520-475-3425,Other,Medium,Hospice,Hospice,yes
SAGE HOSPICE LLC,"5111 N SCOTTSDALE RD, SCOTTSDALE, AZ 85250-7075",480-777-5117,Other,Medium,Hospice,Hospice,yes
SALUS HOSPICE,"8701 E VISTA BONITA DR # SUI, SCOTTSDALE, AZ 85255-3207",949-390-7308,Other,Medium,Hospice,Hospice,yes
Sapphire Hospice,"3377 S PRICE RD STE 3, CHANDLER, AZ 85248-3573",480-347-9866,Other,Medium,Hospice,Hospice,yes
Savior Hospice,"4530 E SHEA BLVD, PHOENIX, AZ 85028-6065",480-320-4733,Other,Medium,Hospice,Hospice,yes
SAVIOR HOSPICE,"14780 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-4799",605-210-1254,Other,Medium,Hospice,Hospice,yes
SAVIOR HOSPICE,"5658 HIGHWAY 260 STE 15, LAKESIDE, AZ 85929-5189",480-320-4733,Other,Medium,Hospice,Hospice,yes
SAVIOR HOSPICE,"1640 N PEART RD, CASA GRANDE, AZ 85122-2564",420-320-4733,Other,Medium,Hospice,Hospice,yes
SCOTTSDALE HOSPICE OF THE VALLEY,"16117 N 76TH ST, SCOTTSDALE, AZ 85260-1793",480-663-6500,Other,Medium,Hospice,Hospice,yes
Select Home Hospice,"65 S SYCAMORE STE 2B, MESA, AZ 85202-1143",480-608-7030,Other,Medium,Hospice,Hospice,yes
Serenity Hospice,"5059 S LAKEWOOD RD, FORT MOHAVE, AZ 86426-6501",928-788-0027,Other,Medium,Hospice,Hospice,yes
SERENITY HOSPICE SERVICES INC,"13231 N 35TH AVE, PHOENIX, AZ 85029-1233",480-716-3044,Other,Medium,Hospice,Hospice,yes
"Shanti Hospice, Llc","501 W RAY RD STE 6, CHANDLER, AZ 85225-7284",480-788-7284,Other,Medium,Hospice,Hospice,yes
SOLACE HOSPICE AND PALLIATIVE CARE,"16841 N 31ST AVE, PHOENIX, AZ 85053-3012",623-440-3068,Other,Medium,Hospice,Hospice,yes
"SOLACE HOSPICE, LLC","16841 N 31ST AVE, PHOENIX, AZ 85053-3012",602-888-7037,Other,Medium,Hospice,Hospice,yes
SOLARIS HOSPICE,"3173 N WINDSONG DR, PRESCOTT VALLEY, AZ 86314-2240",940-627-1011,Other,Medium,Hospice,Hospice,yes
SONORA CARE HOSPICE LLC,"312 N ALMA SCHOOL RD # SUI, CHANDLER, AZ 85224-4354",480-286-4748,Other,Medium,Hospice,Hospice,yes
SOULISTIC HOSPICE,"16 CALLE IGLESIA # 18, TUBAC, AZ 85646-0032",520-398-2333,Other,Medium,Hospice,Hospice,yes
SOULISTIC HOSPICE (031577),"2344 E SPEEDWAY BLVD, TUCSON, AZ 85719-4729",520-882-4111,Other,Medium,Hospice,Hospice,yes
Southwestern Palliative Care and Hospice,"1950 W 3RD ST STE B, YUMA, AZ 85364-1812",928-276-4477,Other,Medium,Hospice,Hospice,yes
SPERO HOSPICE LLC,"13416 N 32ND ST STE 112, PHOENIX, AZ 85032-6000",602-601-4936,Other,Medium,Hospice,Hospice,yes
ST RITA HOSPICE INC,"13201 N 35TH AVE, PHOENIX, AZ 85029-1222",602-922-0266,Other,Medium,Hospice,Hospice,yes
STEADFAST LOVE HOSPICE LLC,"1050 E UNIVERSITY DR # SU, MESA, AZ 85203-8046",480-805-3111,Other,Medium,Hospice,Hospice,yes
STILLWATER HOSPICE,"22601 N 19TH AVE STE 230, PHOENIX, AZ 85027-1362",602-567-9953,Other,Medium,Hospice,Hospice,yes
"STONERIDGE HOSPICE, LLC","20860 N TATUM BLVD, PHOENIX, AZ 85050-4274",480-306-8655,Other,Medium,Hospice,Hospice,yes
SUMMIT HOSPICE,"7310 N 16TH ST, PHOENIX, AZ 85020-5258",602-535-8255,Other,Medium,Hospice,Hospice,yes
"Suncrest Hospice Phoenix, LLC","4650 E COTTON CENTER BLVD, PHOENIX, AZ 85040-4800",602-633-1828,Other,Medium,Hospice,Hospice,yes
SUNSET HOSPICE LLC,"6612 E CARONDELET DR # SUI, TUCSON, AZ 85710-2119",520-245-9431,Other,Medium,Hospice,Hospice,yes
SUPPORTIVE HANDS HOSPICE INC,"2930 E CAMELBACK RD STE 120, PHOENIX, AZ 85016-4412",602-806-7205,Other,Medium,Hospice,Hospice,yes
SUPREME CARE HOSPICE INC,"13201 N 35TH AVE, PHOENIX, AZ 85029-1222",623-303-2891,Other,Medium,Hospice,Hospice,yes
Synergy Hospice Service Inc,"2432 W PEORIA AVE STE 1343, PHOENIX, AZ 85029-4741",602-960-6030,Other,Medium,Hospice,Hospice,yes
T M C HOSPICE AKA PEPPI'S HOUSE,"2715 N WYATT DR, TUCSON, AZ 85712-6111",520-307-6257,Other,Medium,Hospice,Hospice,yes
THE PINES HOSPICE,"6719 E 2ND ST STE A, PRESCOTT VALLEY, AZ 86314-2661",928-632-0111,Other,Medium,Hospice,Hospice,yes
Trifinity Hospice Inc,"11811 N TATUM BLVD, PHOENIX, AZ 85028-1614",818-470-6457,Other,Medium,Hospice,Hospice,yes
TRUE NORTH HOSPICE,"2432 W PEORIA AVE, PHOENIX, AZ 85029-4726",602-246-5096,Other,Medium,Hospice,Hospice,yes
Unicare Hospice Inc,"105 W 16TH ST STE A, YUMA, AZ 85364-4758",928-248-4110,Other,Medium,Hospice,Hospice,yes
UNITED HOSPICE & PALLIATIVE CARE OF ARIZONA,"2222 W PARKSIDE LN STE 109, PHOENIX, AZ 85027-1260",602-296-4717,Other,Medium,Hospice,Hospice,yes
UNIVERSAL HOSPICE CARE SERVICES,"13201 N 35TH AVE, PHOENIX, AZ 85029-1222",602-922-0446,Other,Medium,Hospice,Hospice,yes
Uplift Hospice,"8777 E VIA DE VENTURA, SCOTTSDALE, AZ 85258-3343",480-350-7554,Other,Medium,Hospice,Hospice,yes
"Valley Care Hospice, Inc","2577 W QUEEN CREEK RD STE 200B, CHANDLER, AZ 85248-0913",480-359-3998,Other,Medium,Hospice,Hospice,yes
Valleyside Hospice Inc,"8751 N 51ST AVE STE 120, GLENDALE, AZ 85302-4925",602-600-8944,Other,Medium,Hospice,Hospice,yes
Valor Hospice,"1048 E FRY BLVD, SIERRA VISTA, AZ 85635-2683",520-458-9450,Other,Medium,Hospice,Hospice,yes
VESSEL LOVING HEART HOSPICE,"12406 N 32ND ST, PHOENIX, AZ 85032-7146",602-309-4292,Other,Medium,Hospice,Hospice,yes
"Victory Hospice, Llc","10210 N 32ND ST STE C202-C, PHOENIX, AZ 85028-3827",623-256-8098,Other,Medium,Hospice,Hospice,yes
Vital Hospice Care Inc,"18185 N 83RD AVE STE 206, GLENDALE, AZ 85308-0519",480-631-4777,Other,Medium,Hospice,Hospice,yes
Westcare Hospice & Palliative Care LLC,"2025 N 3RD ST STE 16, PHOENIX, AZ 85004-1471",480-376-0433,Other,Medium,Hospice,Hospice,yes
WHITE ROSE HOSPICE,"4131 N 24TH ST STE A116, PHOENIX, AZ 85016-6262",602-354-7887,Other,Medium,Hospice,Hospice,yes
"WINGS OF HOPE HOSPICE AND PALLIATIVE CARE, INC.","11022 N 28TH DR, PHOENIX, AZ 85029-5633",602-971-0304,Other,Medium,Hospice,Hospice,yes
ZEPHYR HOSPICE,"14040 N CAVE CREEK RD, PHOENIX, AZ 85022-6117",480-584-4373,Other,Medium,Hospice,Hospice,yes
ZION'S WAY HOSPICE,"43 6TH AVE, PAGE, AZ 86040-0470",928-645-0366,Other,Medium,Hospice,Hospice,yes
ABRAZO SPINE INSTITUTE ARROWHEAD,"18699 N 67TH AVE, GLENDALE, AZ 85308-7140",602-396-9894,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
ARIZONA CENTER FOR CANCER CARE,"7337 E 2ND ST, SCOTTSDALE, AZ 85251-5603",480-278-8862,Oncology Office,Low,Other,Oncology Office,no
ARIZONA CENTER FOR CANCER CARE,"14674 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-2706",623-209-9847,Oncology Office,Low,Other,Oncology Office,no
ARIZONA CENTER FOR CANCER CARE,"3645 S ROME ST STE 116, GILBERT, AZ 85297-7337",623-512-5780,Oncology Office,Low,Other,Oncology Office,no
ARIZONA CENTER FOR CANCER CARE,"10460 N 92ND ST STE 101, SCOTTSDALE, AZ 85258-4547",620-361-1234,Oncology Office,Low,Other,Oncology Office,no
ARIZONA CENTER FOR CANCER CARE,"14674 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-2706",602-361-1234,Oncology Office,Low,Other,Oncology Office,no
ARIZONA CENTER FOR CANCER CARE,"19646 N 27TH AVE STE 108, PHOENIX, AZ 85027-4025",480-278-8862,Oncology Office,Low,Other,Oncology Office,no
ARIZONA CENTER FOR CANCER CARE,"14155 N 83RD AVE, PEORIA, AZ 85381-5639",480-278-8862,Oncology Office,Low,Other,Oncology Office,no
ARIZONA SKIN CANCER SURGERY CENTER P C,"5980 N LA CHOLLA BLVD, TUCSON, AZ 85741-3535",520-887-3333,Oncology Office,High,Primary Care Office,Oncology Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","201 W GUADALUPE RD, GILBERT, AZ 85233-3332",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","33747 N SCOTTSDALE RD, SCOTTSDALE, AZ 85266-1565",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","1325 N LITCHFIELD RD # 12, GOODYEAR, AZ 85395-1213",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","7200 W BELL RD STE F-1, GLENDALE, AZ 85308-8529",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","725 S DOBSON RD STE 100, CHANDLER, AZ 85224-5676",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","1760 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4764",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","14420 W MEEKER BLVD # 2, SUN CITY WEST, AZ 85375-5286",602-795-8700,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
ARIZONA SPORTS MEDICINE - SCOTTSDALE,"8630 E VIA DE VENTURA, SCOTTSDALE, AZ 85258-3326",480-558-3744,Orthopedic Office,Low,Other,Orthopedic Office,no
ARIZONA SPORTS MEDICINE CENTER MESA,"1840 S STAPLEY DR, MESA, AZ 85204-6681",602-396-9894,Orthopedic Office,Low,Other,Orthopedic Office,no
BANNER MD ANDERSON CANCER CENTER,"14416 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5284",623-876-3800,Oncology Office,Low,Other,Oncology Office,no
BANNER MD ANDERSON CANCER CENTER,"2946 E BANNER GATEWAY DR, GILBERT, AZ 85234-2165",480-256-2165,Oncology Office,Low,Other,Oncology Office,no
BANNER MD ANDERSON CANCER CENTER RADIATION TRTMNT,"10424 W SANTA FE DR, SUN CITY, AZ 85351-3012",623-832-3400,Oncology Office,Low,Other,Oncology Office,no
BANNER MD ANDERSON CANCER CTR- IMAGING CENTER,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-543-6909,Oncology Office,Low,Other,Oncology Office,no
BANNER SURGERY CENTER - SPORTS MEDICINE,"7400 N DOBSON RD STE 301, SCOTTSDALE, AZ 85256-2771",602-362-5107,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
BANNER- UNIVERSITY SPORTS MEDICINE AND CONCUSSION,"1320 N 10TH ST, PHOENIX, AZ 85006-2710",602-839-7285,Orthopedic Office,Low,Other,Orthopedic Office,no
CANYON PAIN AND SPINE,"14445 W MCDOWELL RD, GOODYEAR, AZ 85395-2518",623-232-8787,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
